"Tumor_Sample_Barcode"	"total"	"cohort"	"total_perMB"
"TCGA-AB-2808-03B-01W-0728-08"	741	"Bone Marrow"	20.6983240223464
"TCGA-AB-2828-03B-01W-0728-08"	718	"Bone Marrow"	20.0558659217877
"TCGA-AB-2826-03B-01W-0728-08"	616	"Bone Marrow"	17.2067039106145
"TCGA-AB-2806-03B-01W-0728-08"	491	"Bone Marrow"	13.7150837988827
"TCGA-AB-2833-03B-01W-0728-08"	445	"Bone Marrow"	12.4301675977654
"TCGA-AB-2854-03B-01W-0728-08"	285	"Bone Marrow"	7.9608938547486
"TCGA-AB-2807-03B-01W-0728-08"	232	"Bone Marrow"	6.4804469273743
"TCGA-AB-2868-03B-01W-0728-08"	66	"Bone Marrow"	1.84357541899441
"TCGA-AB-2805-03B-01W-0728-08"	45	"Bone Marrow"	1.25698324022346
"TCGA-AB-2804-03B-01W-0728-08"	38	"Bone Marrow"	1.06145251396648
"TCGA-AB-2857-03B-01W-0728-08"	32	"Bone Marrow"	0.893854748603352
"TCGA-AB-2885-03A-01W-0732-08"	30	"Bone Marrow"	0.837988826815643
"TCGA-AB-2867-03B-01W-0728-08"	29	"Bone Marrow"	0.810055865921788
"TCGA-AB-2938-03A-01W-0732-08"	29	"Bone Marrow"	0.810055865921788
"TCGA-AB-2849-03B-01W-0728-08"	27	"Bone Marrow"	0.754189944134078
"TCGA-AB-2851-03B-01W-0728-08"	26	"Bone Marrow"	0.726256983240223
"TCGA-AB-2904-03A-01W-0732-08"	26	"Bone Marrow"	0.726256983240223
"TCGA-AB-2950-03A-01W-0733-08"	26	"Bone Marrow"	0.726256983240223
"TCGA-AB-2824-03B-01W-0728-08"	25	"Bone Marrow"	0.698324022346369
"TCGA-AB-2912-03A-01W-0732-08"	24	"Bone Marrow"	0.670391061452514
"TCGA-AB-2959-03A-01W-0733-08"	24	"Bone Marrow"	0.670391061452514
"TCGA-AB-2827-03B-01W-0728-08"	23	"Bone Marrow"	0.642458100558659
"TCGA-AB-2846-03B-01W-0728-08"	23	"Bone Marrow"	0.642458100558659
"TCGA-AB-2872-03A-01W-0732-08"	23	"Bone Marrow"	0.642458100558659
"TCGA-AB-2898-03A-01W-0733-08"	22	"Bone Marrow"	0.614525139664804
"TCGA-AB-2861-03B-01W-0728-08"	21	"Bone Marrow"	0.58659217877095
"TCGA-AB-2829-03B-01W-0728-08"	19	"Bone Marrow"	0.53072625698324
"TCGA-AB-2939-03A-01W-0745-08"	19	"Bone Marrow"	0.53072625698324
"TCGA-AB-2864-03B-01W-0728-08"	18	"Bone Marrow"	0.502793296089385
"TCGA-AB-2871-03A-01W-0732-08"	18	"Bone Marrow"	0.502793296089385
"TCGA-AB-2927-03A-01W-0755-09"	18	"Bone Marrow"	0.502793296089385
"TCGA-AB-2935-03A-01W-0745-08"	18	"Bone Marrow"	0.502793296089385
"TCGA-AB-2821-03B-01W-0728-08"	17	"Bone Marrow"	0.474860335195531
"TCGA-AB-2877-03A-01W-0732-08"	17	"Bone Marrow"	0.474860335195531
"TCGA-AB-2925-03A-01W-0732-08"	17	"Bone Marrow"	0.474860335195531
"TCGA-AB-2838-03A-01W-0726-08"	16	"Bone Marrow"	0.446927374301676
"TCGA-AB-2860-03B-01W-0728-08"	16	"Bone Marrow"	0.446927374301676
"TCGA-AB-2943-03A-01W-0745-08"	16	"Bone Marrow"	0.446927374301676
"TCGA-AB-2949-03A-01W-0733-08"	16	"Bone Marrow"	0.446927374301676
"TCGA-AB-2822-03D-01W-0755-09"	15	"Bone Marrow"	0.418994413407821
"TCGA-AB-2910-03A-01W-0745-08"	15	"Bone Marrow"	0.418994413407821
"TCGA-AB-2918-03A-01W-0745-08"	15	"Bone Marrow"	0.418994413407821
"TCGA-AB-2956-03A-01W-0733-08"	15	"Bone Marrow"	0.418994413407821
"TCGA-AB-2850-03B-01W-0728-08"	14	"Bone Marrow"	0.391061452513967
"TCGA-AB-2875-03A-01W-0732-08"	14	"Bone Marrow"	0.391061452513967
"TCGA-AB-2915-03A-01W-0745-08"	14	"Bone Marrow"	0.391061452513967
"TCGA-AB-2803-03B-01W-0728-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2819-03B-01W-0728-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2834-03B-01W-0728-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2843-03B-01W-0728-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2895-03A-01W-0733-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2919-03A-01W-0745-08"	13	"Bone Marrow"	0.363128491620112
"TCGA-AB-2813-03B-01W-0728-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2830-03B-01W-0728-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2859-03B-01W-0728-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2908-03A-01W-0745-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2914-03A-01W-0732-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2917-03A-01W-0732-08"	12	"Bone Marrow"	0.335195530726257
"TCGA-AB-2817-03B-01W-0728-08"	11	"Bone Marrow"	0.307262569832402
"TCGA-AB-2862-03B-01W-0728-08"	11	"Bone Marrow"	0.307262569832402
"TCGA-AB-2886-03A-01W-0732-08"	11	"Bone Marrow"	0.307262569832402
"TCGA-AB-2899-03A-01W-0733-08"	11	"Bone Marrow"	0.307262569832402
"TCGA-AB-2913-03A-01W-0732-08"	11	"Bone Marrow"	0.307262569832402
"TCGA-AB-2839-03B-01W-0728-08"	10	"Bone Marrow"	0.279329608938548
"TCGA-AB-2841-03B-01W-0728-08"	10	"Bone Marrow"	0.279329608938548
"TCGA-AB-2891-03A-01W-0733-08"	10	"Bone Marrow"	0.279329608938548
"TCGA-AB-2916-03A-01W-0732-08"	10	"Bone Marrow"	0.279329608938548
"TCGA-AB-2929-03A-01W-0732-08"	10	"Bone Marrow"	0.279329608938548
"TCGA-AB-2802-03B-01W-0728-08"	9	"Bone Marrow"	0.251396648044693
"TCGA-AB-2847-03B-01W-0728-08"	9	"Bone Marrow"	0.251396648044693
"TCGA-AB-2855-03B-01W-0728-08"	9	"Bone Marrow"	0.251396648044693
"TCGA-AB-2897-03A-01W-0733-08"	9	"Bone Marrow"	0.251396648044693
"TCGA-AB-2936-03A-01W-0745-08"	9	"Bone Marrow"	0.251396648044693
"TCGA-AB-2814-03D-01W-0755-09"	8	"Bone Marrow"	0.223463687150838
"TCGA-AB-2883-03A-01W-0732-08"	8	"Bone Marrow"	0.223463687150838
"TCGA-AB-2934-03A-01W-0745-08"	8	"Bone Marrow"	0.223463687150838
"TCGA-AB-2818-03B-01W-0728-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2820-03B-01W-0728-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2858-03D-01W-0755-09"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2874-03A-01W-0732-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2884-03A-01W-0732-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2911-03A-01W-0732-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2931-03A-01W-0745-08"	7	"Bone Marrow"	0.195530726256983
"TCGA-AB-2882-03A-01W-0761-09"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2888-03A-01W-0732-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2923-03A-01W-0745-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2924-03A-01W-0745-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2937-03A-01W-0732-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2940-03A-01W-0733-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2952-03A-01W-0733-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2954-03A-01W-0733-08"	6	"Bone Marrow"	0.167597765363129
"TCGA-AB-2810-03B-01W-0728-08"	5	"Bone Marrow"	0.139664804469274
"TCGA-AB-2844-03B-01W-0728-08"	5	"Bone Marrow"	0.139664804469274
"TCGA-AB-2881-03A-01W-0732-08"	5	"Bone Marrow"	0.139664804469274
"TCGA-AB-2890-03A-01W-0732-08"	5	"Bone Marrow"	0.139664804469274
"TCGA-AB-2900-03A-01W-0733-08"	5	"Bone Marrow"	0.139664804469274
"TCGA-AB-2920-03A-01W-0732-08"	5	"Bone Marrow"	0.139664804469274
