"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"TTN"	0	0	0	0	9	1	0	0	0	10	8	8
"PIK3CA"	0	0	0	0	9	0	0	0	0	9	6	6
"TP53"	1	0	0	0	3	2	0	0	0	6	6	6
"MUC16"	0	0	0	0	6	0	0	0	0	6	5	5
"GATA3"	0	4	0	0	1	0	0	0	0	5	5	5
"GRM3"	0	0	0	0	4	1	0	0	0	5	5	5
"ASPM"	1	0	0	0	2	1	0	0	0	4	4	4
"CDH1"	0	1	0	0	1	1	0	1	0	4	4	4
"HUWE1"	0	0	0	0	4	0	0	0	0	4	4	4
"PLCE1"	1	0	0	0	3	0	0	0	0	4	4	4
"ZFHX4"	0	0	0	0	4	0	0	0	0	4	4	4
"MAP3K1"	1	1	1	0	2	1	0	0	0	6	3	3
"ABCA8"	0	0	0	0	4	0	0	0	0	4	3	3
"ADGRV1"	0	0	0	0	3	1	0	0	0	4	3	3
"ARID1A"	0	0	0	0	2	2	0	0	0	4	3	3
"ATG2A"	0	0	0	0	4	0	0	0	0	4	3	3
"AHNAK"	0	0	0	0	3	0	0	0	0	3	3	3
"AKAP9"	1	0	0	0	1	1	0	0	0	3	3	3
"ALPK3"	0	0	0	0	3	0	0	0	0	3	3	3
"ARHGAP31"	0	0	0	0	3	0	0	0	0	3	3	3
"BBX"	0	0	0	0	3	0	0	0	0	3	3	3
"BEST3"	0	0	0	0	2	1	0	0	0	3	3	3
"BRCA1"	0	0	0	0	1	1	0	1	0	3	3	3
"CECR2"	0	0	0	0	3	0	0	0	0	3	3	3
"COL4A3"	0	0	0	0	3	0	0	0	0	3	3	3
"DMD"	0	0	0	0	2	1	0	0	0	3	3	3
"DYNC2H1"	0	0	0	0	3	0	0	0	0	3	3	3
"FAM135B"	0	0	0	0	2	0	0	1	0	3	3	3
"HMCN1"	0	0	0	0	2	1	0	0	0	3	3	3
"KCNQ2"	0	0	0	0	3	0	0	0	0	3	3	3
"KDM5B"	0	0	0	0	3	0	0	0	0	3	3	3
