Tumor_Sample_Barcode	Ti	Tv
TCGA-3C-AAAU-01A-11D-A41F-09	67.3913043478261	32.6086956521739
TCGA-3C-AALI-01A-11D-A41F-09	47.6005188067445	52.3994811932555
TCGA-3C-AALJ-01A-31D-A41F-09	57.4074074074074	42.5925925925926
TCGA-3C-AALK-01A-11D-A41F-09	67.6923076923077	32.3076923076923
TCGA-4H-AAAK-01A-12D-A41F-09	63.6363636363636	36.3636363636364
TCGA-5L-AAT0-01A-12D-A41F-09	63.9676113360324	36.0323886639676
TCGA-5L-AAT1-01A-12D-A41F-09	56.0757496054708	43.9242503945292
TCGA-5T-A9QA-01A-11D-A41F-09	55	45
TCGA-A1-A0SD-01A-11D-A10Y-09	69.2307692307692	30.7692307692308
TCGA-A1-A0SE-01A-11D-A099-09	73.5294117647059	26.4705882352941
TCGA-A1-A0SF-01A-11D-A142-09	83.3333333333333	16.6666666666667
TCGA-A1-A0SG-01A-11D-A142-09	65.3846153846154	34.6153846153846
TCGA-A1-A0SH-01A-11D-A099-09	48.8	51.2
TCGA-A1-A0SI-01A-11D-A142-09	46.8253968253968	53.1746031746032
TCGA-A1-A0SJ-01A-11D-A099-09	64.5161290322581	35.4838709677419
TCGA-A1-A0SK-01A-12D-A099-09	46.9879518072289	53.0120481927711
TCGA-A1-A0SM-01A-11D-A099-09	60.6060606060606	39.3939393939394
TCGA-A1-A0SN-01A-11D-A142-09	50	50
TCGA-A1-A0SO-01A-22D-A099-09	36.1823361823362	63.8176638176638
TCGA-A1-A0SP-01A-11D-A099-09	66.1016949152542	33.8983050847458
TCGA-A1-A0SQ-01A-21D-A142-09	79.4117647058824	20.5882352941176
TCGA-A2-A04N-01A-11D-A10Y-09	65.3061224489796	34.6938775510204
TCGA-A2-A04P-01A-31D-A128-09	38.125	61.875
TCGA-A2-A04Q-01A-21W-A050-09	48.4848484848485	51.5151515151515
TCGA-A2-A04R-01A-41D-A117-09	34.6938775510204	65.3061224489796
