Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA-3C-AAAU-01A-11D-A41F-09	8	5	23	8	2	0
TCGA-3C-AALI-01A-11D-A41F-09	80	299	351	16	20	5
TCGA-3C-AALJ-01A-31D-A41F-09	9	7	25	6	4	3
TCGA-3C-AALK-01A-11D-A41F-09	10	8	37	7	3	0
TCGA-4H-AAAK-01A-12D-A41F-09	9	1	17	4	2	0
TCGA-5L-AAT0-01A-12D-A41F-09	16	65	153	5	5	3
TCGA-5L-AAT1-01A-12D-A41F-09	171	655	1057	9	7	2
TCGA-5T-A9QA-01A-11D-A41F-09	22	2	29	4	3	0
TCGA-A1-A0SD-01A-11D-A10Y-09	3	4	21	6	4	1
TCGA-A1-A0SE-01A-11D-A099-09	6	0	18	7	3	0
TCGA-A1-A0SF-01A-11D-A142-09	5	3	43	2	0	1
TCGA-A1-A0SG-01A-11D-A142-09	1	4	14	3	2	2
TCGA-A1-A0SH-01A-11D-A099-09	17	42	55	6	3	2
TCGA-A1-A0SI-01A-11D-A142-09	23	108	111	7	1	2
TCGA-A1-A0SJ-01A-11D-A099-09	5	4	18	2	1	1
TCGA-A1-A0SK-01A-12D-A099-09	16	16	31	8	7	5
TCGA-A1-A0SM-01A-11D-A099-09	5	2	14	6	4	2
TCGA-A1-A0SN-01A-11D-A142-09	9	21	32	9	9	2
TCGA-A1-A0SO-01A-22D-A099-09	110	56	102	25	43	15
TCGA-A1-A0SP-01A-11D-A099-09	9	7	33	6	2	2
TCGA-A1-A0SQ-01A-21D-A142-09	2	4	24	3	1	0
TCGA-A2-A04N-01A-11D-A10Y-09	8	2	25	7	3	4
TCGA-A2-A04P-01A-31D-A128-09	29	41	38	23	16	13
TCGA-A2-A04Q-01A-21W-A050-09	15	9	26	6	4	6
TCGA-A2-A04R-01A-41D-A117-09	29	17	28	6	13	5
